region,date,age,num_tests,obs_positives
North_East_England,2020-05-15,"(0,11]",9,0
North_East_England,2020-05-15,"(11,16]",6,0
North_East_England,2020-05-15,"(16,25]",12,0
North_East_England,2020-05-15,"(25,50]",51,0
North_East_England,2020-05-15,"(50,70]",78,0
North_East_England,2020-05-15,"(70,Inf]",11,0
North_East_England,2020-05-16,"(0,11]",6,0
North_East_England,2020-05-16,"(11,16]",3,0
North_East_England,2020-05-16,"(16,25]",7,0
North_East_England,2020-05-16,"(25,50]",29,0
North_East_England,2020-05-16,"(50,70]",30,0
North_East_England,2020-05-16,"(70,Inf]",6,0
North_East_England,2020-05-17,"(0,11]",12,0
North_East_England,2020-05-17,"(11,16]",4,0
North_East_England,2020-05-17,"(16,25]",6,0
North_East_England,2020-05-17,"(25,50]",22,0
North_East_England,2020-05-17,"(50,70]",18,0
North_East_England,2020-05-17,"(70,Inf]",9,0
North_East_England,2020-05-18,"(0,11]",6,0
North_East_England,2020-05-18,"(11,16]",6,0
North_East_England,2020-05-18,"(16,25]",6,0
North_East_England,2020-05-18,"(25,50]",22,0
North_East_England,2020-05-18,"(50,70]",32,0
North_East_England,2020-05-18,"(70,Inf]",8,0
North_East_England,2020-05-19,"(0,11]",9,0
North_East_England,2020-05-19,"(11,16]",9,0
North_East_England,2020-05-19,"(16,25]",13,0
North_East_England,2020-05-19,"(25,50]",36,0
North_East_England,2020-05-19,"(50,70]",46,0
North_East_England,2020-05-19,"(70,Inf]",13,0
North_East_England,2020-05-20,"(0,11]",17,0
North_East_England,2020-05-20,"(11,16]",8,0
North_East_England,2020-05-20,"(16,25]",12,0
North_East_England,2020-05-20,"(25,50]",44,0
North_East_England,2020-05-20,"(50,70]",57,0
North_East_England,2020-05-20,"(70,Inf]",18,0
North_East_England,2020-05-21,"(0,11]",13,0
North_East_England,2020-05-21,"(11,16]",12,0
North_East_England,2020-05-21,"(16,25]",12,0
North_East_England,2020-05-21,"(25,50]",48,0
North_East_England,2020-05-21,"(50,70]",55,0
North_East_England,2020-05-21,"(70,Inf]",23,0
North_East_England,2020-05-22,"(0,11]",5,0
North_East_England,2020-05-22,"(11,16]",5,0
North_East_England,2020-05-22,"(16,25]",7,0
North_East_England,2020-05-22,"(25,50]",25,0
North_East_England,2020-05-22,"(50,70]",51,0
North_East_England,2020-05-22,"(70,Inf]",6,0
North_East_England,2020-05-23,"(0,11]",8,0
North_East_England,2020-05-23,"(11,16]",4,0
North_East_England,2020-05-23,"(16,25]",13,0
North_East_England,2020-05-23,"(25,50]",34,0
North_East_England,2020-05-23,"(50,70]",60,0
North_East_England,2020-05-23,"(70,Inf]",8,0
North_East_England,2020-05-24,"(0,11]",9,0
North_East_England,2020-05-24,"(11,16]",5,0
North_East_England,2020-05-24,"(16,25]",8,0
North_East_England,2020-05-24,"(25,50]",36,0
North_East_England,2020-05-24,"(50,70]",34,0
North_East_England,2020-05-24,"(70,Inf]",7,0
North_East_England,2020-05-25,"(0,11]",12,0
North_East_England,2020-05-25,"(11,16]",6,0
North_East_England,2020-05-25,"(16,25]",6,0
North_East_England,2020-05-25,"(25,50]",41,0
North_East_England,2020-05-25,"(50,70]",58,0
North_East_England,2020-05-25,"(70,Inf]",15,0
North_East_England,2020-05-26,"(0,11]",13,0
North_East_England,2020-05-26,"(11,16]",12,0
North_East_England,2020-05-26,"(16,25]",10,0
North_East_England,2020-05-26,"(25,50]",34,0
North_East_England,2020-05-26,"(50,70]",39,0
North_East_England,2020-05-26,"(70,Inf]",12,0
North_East_England,2020-05-27,"(0,11]",15,0
North_East_England,2020-05-27,"(11,16]",5,0
North_East_England,2020-05-27,"(16,25]",13,0
North_East_England,2020-05-27,"(25,50]",49,0
North_East_England,2020-05-27,"(50,70]",57,0
North_East_England,2020-05-27,"(70,Inf]",20,0
North_East_England,2020-05-28,"(0,11]",12,0
North_East_England,2020-05-28,"(11,16]",10,0
North_East_England,2020-05-28,"(16,25]",13,0
North_East_England,2020-05-28,"(25,50]",44,0
North_East_England,2020-05-28,"(50,70]",58,0
North_East_England,2020-05-28,"(70,Inf]",20,0
North_East_England,2020-05-29,"(0,11]",10,0
North_East_England,2020-05-29,"(11,16]",9,0
North_East_England,2020-05-29,"(16,25]",9,0
North_East_England,2020-05-29,"(25,50]",46,0
North_East_England,2020-05-29,"(50,70]",53,0
North_East_England,2020-05-29,"(70,Inf]",16,0
North_East_England,2020-05-30,"(0,11]",12,0
North_East_England,2020-05-30,"(11,16]",8,0
North_East_England,2020-05-30,"(16,25]",14,0
North_East_England,2020-05-30,"(25,50]",36,0
North_East_England,2020-05-30,"(50,70]",57,0
North_East_England,2020-05-30,"(70,Inf]",7,0
North_East_England,2020-05-31,"(0,11]",12,0
North_East_England,2020-05-31,"(11,16]",8,0
North_East_England,2020-05-31,"(16,25]",19,0
North_East_England,2020-05-31,"(25,50]",37,1
North_East_England,2020-05-31,"(50,70]",54,1
North_East_England,2020-05-31,"(70,Inf]",13,0
North_East_England,2020-06-01,"(0,11]",8,0
North_East_England,2020-06-01,"(11,16]",1,0
North_East_England,2020-06-01,"(16,25]",5,0
North_East_England,2020-06-01,"(25,50]",39,0
North_East_England,2020-06-01,"(50,70]",54,0
North_East_England,2020-06-01,"(70,Inf]",10,0
North_East_England,2020-06-02,"(0,11]",12,0
North_East_England,2020-06-02,"(11,16]",12,0
North_East_England,2020-06-02,"(16,25]",19,0
North_East_England,2020-06-02,"(25,50]",41,0
North_East_England,2020-06-02,"(50,70]",58,0
North_East_England,2020-06-02,"(70,Inf]",23,0
North_East_England,2020-06-03,"(0,11]",14,0
North_East_England,2020-06-03,"(11,16]",11,0
North_East_England,2020-06-03,"(16,25]",9,0
North_East_England,2020-06-03,"(25,50]",47,0
North_East_England,2020-06-03,"(50,70]",65,0
North_East_England,2020-06-03,"(70,Inf]",22,0
North_East_England,2020-06-04,"(0,11]",10,0
North_East_England,2020-06-04,"(11,16]",9,0
North_East_England,2020-06-04,"(16,25]",10,0
North_East_England,2020-06-04,"(25,50]",51,0
North_East_England,2020-06-04,"(50,70]",52,0
North_East_England,2020-06-04,"(70,Inf]",18,0
North_East_England,2020-06-05,"(0,11]",18,0
North_East_England,2020-06-05,"(11,16]",14,0
North_East_England,2020-06-05,"(16,25]",17,0
North_East_England,2020-06-05,"(25,50]",49,0
North_East_England,2020-06-05,"(50,70]",59,0
North_East_England,2020-06-05,"(70,Inf]",17,0
North_East_England,2020-06-06,"(0,11]",15,0
North_East_England,2020-06-06,"(11,16]",11,0
North_East_England,2020-06-06,"(16,25]",12,0
North_East_England,2020-06-06,"(25,50]",38,0
North_East_England,2020-06-06,"(50,70]",53,0
North_East_England,2020-06-06,"(70,Inf]",10,0
North_East_England,2020-06-07,"(0,11]",7,0
North_East_England,2020-06-07,"(11,16]",7,0
North_East_England,2020-06-07,"(16,25]",12,0
North_East_England,2020-06-07,"(25,50]",31,0
North_East_England,2020-06-07,"(50,70]",49,0
North_East_England,2020-06-07,"(70,Inf]",10,0
North_East_England,2020-06-08,"(0,11]",13,0
North_East_England,2020-06-08,"(11,16]",9,0
North_East_England,2020-06-08,"(16,25]",10,0
North_East_England,2020-06-08,"(25,50]",52,0
North_East_England,2020-06-08,"(50,70]",90,0
North_East_England,2020-06-08,"(70,Inf]",16,0
North_East_England,2020-06-09,"(0,11]",14,0
North_East_England,2020-06-09,"(11,16]",13,0
North_East_England,2020-06-09,"(16,25]",15,0
North_East_England,2020-06-09,"(25,50]",39,0
North_East_England,2020-06-09,"(50,70]",46,0
North_East_England,2020-06-09,"(70,Inf]",22,0
North_East_England,2020-06-10,"(0,11]",8,0
North_East_England,2020-06-10,"(11,16]",13,0
North_East_England,2020-06-10,"(16,25]",10,0
North_East_England,2020-06-10,"(25,50]",42,0
North_East_England,2020-06-10,"(50,70]",62,0
North_East_England,2020-06-10,"(70,Inf]",22,0
North_East_England,2020-06-11,"(0,11]",16,0
North_East_England,2020-06-11,"(11,16]",10,0
North_East_England,2020-06-11,"(16,25]",11,0
North_East_England,2020-06-11,"(25,50]",43,0
North_East_England,2020-06-11,"(50,70]",46,0
North_East_England,2020-06-11,"(70,Inf]",16,0
North_East_England,2020-06-12,"(0,11]",16,0
North_East_England,2020-06-12,"(11,16]",13,0
North_East_England,2020-06-12,"(16,25]",14,0
North_East_England,2020-06-12,"(25,50]",47,0
North_East_England,2020-06-12,"(50,70]",77,0
North_East_England,2020-06-12,"(70,Inf]",35,0
North_East_England,2020-06-13,"(0,11]",14,0
North_East_England,2020-06-13,"(11,16]",9,0
North_East_England,2020-06-13,"(16,25]",10,0
North_East_England,2020-06-13,"(25,50]",43,0
North_East_England,2020-06-13,"(50,70]",52,0
North_East_England,2020-06-13,"(70,Inf]",26,0
North_East_England,2020-06-14,"(0,11]",21,0
North_East_England,2020-06-14,"(11,16]",7,0
North_East_England,2020-06-14,"(16,25]",12,0
North_East_England,2020-06-14,"(25,50]",42,0
North_East_England,2020-06-14,"(50,70]",60,0
North_East_England,2020-06-14,"(70,Inf]",13,0
North_East_England,2020-06-15,"(0,11]",3,0
North_East_England,2020-06-15,"(11,16]",6,0
North_East_England,2020-06-15,"(16,25]",5,0
North_East_England,2020-06-15,"(25,50]",23,0
North_East_England,2020-06-15,"(50,70]",31,0
North_East_England,2020-06-15,"(70,Inf]",16,0
North_East_England,2020-06-16,"(0,11]",3,0
North_East_England,2020-06-16,"(11,16]",8,0
North_East_England,2020-06-16,"(16,25]",8,0
North_East_England,2020-06-16,"(25,50]",33,0
North_East_England,2020-06-16,"(50,70]",58,0
North_East_England,2020-06-16,"(70,Inf]",23,0
North_East_England,2020-06-17,"(0,11]",14,0
North_East_England,2020-06-17,"(11,16]",8,0
North_East_England,2020-06-17,"(16,25]",10,0
North_East_England,2020-06-17,"(25,50]",36,0
North_East_England,2020-06-17,"(50,70]",57,0
North_East_England,2020-06-17,"(70,Inf]",18,0
North_East_England,2020-06-18,"(0,11]",17,0
North_East_England,2020-06-18,"(11,16]",10,0
North_East_England,2020-06-18,"(16,25]",7,0
North_East_England,2020-06-18,"(25,50]",44,0
North_East_England,2020-06-18,"(50,70]",41,0
North_East_England,2020-06-18,"(70,Inf]",29,0
North_East_England,2020-06-19,"(0,11]",15,0
North_East_England,2020-06-19,"(11,16]",13,0
North_East_England,2020-06-19,"(16,25]",13,0
North_East_England,2020-06-19,"(25,50]",52,0
North_East_England,2020-06-19,"(50,70]",72,0
North_East_England,2020-06-19,"(70,Inf]",23,0
North_East_England,2020-06-20,"(0,11]",16,0
North_East_England,2020-06-20,"(11,16]",13,0
North_East_England,2020-06-20,"(16,25]",11,0
North_East_England,2020-06-20,"(25,50]",50,0
North_East_England,2020-06-20,"(50,70]",57,0
North_East_England,2020-06-20,"(70,Inf]",39,0
North_East_England,2020-06-21,"(0,11]",19,0
North_East_England,2020-06-21,"(11,16]",8,0
North_East_England,2020-06-21,"(16,25]",13,0
North_East_England,2020-06-21,"(25,50]",28,0
North_East_England,2020-06-21,"(50,70]",60,0
North_East_England,2020-06-21,"(70,Inf]",13,0
North_East_England,2020-06-22,"(0,11]",8,0
North_East_England,2020-06-22,"(11,16]",6,0
North_East_England,2020-06-22,"(16,25]",6,0
North_East_England,2020-06-22,"(25,50]",30,0
North_East_England,2020-06-22,"(50,70]",51,0
North_East_England,2020-06-22,"(70,Inf]",26,0
North_East_England,2020-06-23,"(0,11]",6,0
North_East_England,2020-06-23,"(11,16]",2,0
North_East_England,2020-06-23,"(16,25]",9,0
North_East_England,2020-06-23,"(25,50]",28,0
North_East_England,2020-06-23,"(50,70]",46,0
North_East_England,2020-06-23,"(70,Inf]",29,0
North_East_England,2020-06-24,"(0,11]",6,0
North_East_England,2020-06-24,"(11,16]",9,0
North_East_England,2020-06-24,"(16,25]",6,0
North_East_England,2020-06-24,"(25,50]",20,0
North_East_England,2020-06-24,"(50,70]",39,0
North_East_England,2020-06-24,"(70,Inf]",14,0
North_East_England,2020-06-25,"(0,11]",16,0
North_East_England,2020-06-25,"(11,16]",3,0
North_East_England,2020-06-25,"(16,25]",5,0
North_East_England,2020-06-25,"(25,50]",33,0
North_East_England,2020-06-25,"(50,70]",42,0
North_East_England,2020-06-25,"(70,Inf]",28,0
North_East_England,2020-06-26,"(0,11]",22,0
North_East_England,2020-06-26,"(11,16]",18,0
North_East_England,2020-06-26,"(16,25]",15,0
North_East_England,2020-06-26,"(25,50]",67,0
North_East_England,2020-06-26,"(50,70]",78,0
North_East_England,2020-06-26,"(70,Inf]",33,0
North_East_England,2020-06-27,"(0,11]",18,0
North_East_England,2020-06-27,"(11,16]",11,0
North_East_England,2020-06-27,"(16,25]",9,0
North_East_England,2020-06-27,"(25,50]",52,0
North_East_England,2020-06-27,"(50,70]",49,0
North_East_England,2020-06-27,"(70,Inf]",42,0
North_East_England,2020-06-28,"(0,11]",14,0
North_East_England,2020-06-28,"(11,16]",14,0
North_East_England,2020-06-28,"(16,25]",16,0
North_East_England,2020-06-28,"(25,50]",37,0
North_East_England,2020-06-28,"(50,70]",66,0
North_East_England,2020-06-28,"(70,Inf]",18,0
North_East_England,2020-06-29,"(0,11]",10,0
North_East_England,2020-06-29,"(11,16]",9,0
North_East_England,2020-06-29,"(16,25]",8,0
North_East_England,2020-06-29,"(25,50]",37,0
North_East_England,2020-06-29,"(50,70]",60,0
